date,camera,insect.code,insect.name,insect.name.og
150523,CAM7,15,carabidae,bembidion lampros
150523,CAM9,16,carabidae,notiophilus biguttatus
150523,HF2F,19,carabidae,bembidion lunulatum
160523,CAM7,13,carabidae,bembidion lampros
160523,HF2F,21,carabidae,notiophilus biguttatus
160523,LF2E,20,carabidae,bembidion lunulatum
170523,CAM9,25,carabidae,nebria brevicollis
170523,LS3E,30,carabidae,amara aenea
180523,CAM7,33,staphylinidae,philonthus cognatus
180523,LS3E,29,carabidae,amara
180523,LF2E,37,carabidae,amara
220523,CAM9,33,staphylinidae,philonthus cognatus
220523,HF2F,30,carabidae,amara aenea
220523,LF2E,35,carabidae,amara ovata
230523,CAM4,40,carabidae,loricera pilicornis
230523,CAM8,45,staphylinidae,xantholinus linearis
240523,HF2G,46,carabidae,acupalpus meridianus
240523,CAM8,52,araneae,trochosa
250523,CAM4,55,carabidae,poecilus cupreus
250523,HF2F,57,araneae,pardosa
250523,HF2G,53,carabidae,poecilus cupreus
250523,CAM8,51,carabidae,pterostichus madidus
300523,CAM4,54,carabidae,nebria salina
300523,HF2F,56,staphylinidae,achenium depressum
300523,HF2G,47,carabidae,anchomenus dorsalis
300523,CAM8,46,carabidae,acupalpus meridianus
300523,LF2E,58,carabidae,pterostichus strenuus
310523,CAM4,57,araneae,pardosa
310523,HF2F,55,carabidae,poecilus cupreus
310523,HF2G,51,carabidae,pterostichus madidus
310523,CAM8,53,carabidae,poecilus cupreus
310523,CAM9,59,carabidae,bembidion obtrissum
010623,CAM4,56,staphylinidae,achenium depressum
010623,HF2F,54,carabidae,nebria salina
010623,HF2G,60,carabidae,notiophilus biguttatus
020623,CAM4,65,carabidae,bembidion lampros
020623,HF2F,67,carabidae,poecilus cupreus
020623,HF2G,68,carabidae,nebria brevicollis
020623,CAM8,70,carabidae,asaphidion flavipes
020623,CAM9,72,carabidae,amara ovata
030623,CAM4,64,carabidae,harpalus affinis
030623,HF2F,66,araneae,trochosa ruricola
030623,HF2G,62,araneae,trochosa
030623,CAM8,69,carabidae,notiophilus biguttatus
030623,CAM9,74,carabidae,amara aenea
040623,CAM4,67,carabidae,poecilus cupreus
040623,HF2F,65,carabidae,bembidion lampros
040623,HF2G,70,carabidae,asaphidion flavipes
040623,CAM8,68,carabidae,nebria brevicollis
040623,LF2E,74,carabidae,amara aenea
050623,CAM4,66,araneae,trochosa ruricola
050623,HF2F,64,carabidae,harpalus affinis
050623,HF2G,69,carabidae,notiophilus biguttatus
050623,CAM8,75,carabidae,poecilus cupreus
050623,LF2E,72,carabidae,amara ovata
060623,CAM4,77,carabidae,pterostichus nigrita
060623,HF2F,79,carabidae,nebria salina
060623,HF2G,80,carabidae,amara similata
060623,CAM9,72,carabidae,amara ovata
070623,CAM4,76,carabidae,nebria salina
070623,HF2F,78,carabidae,nebria brevicollis
070623,HF2G,75,carabidae,poecilus cupreus
070623,CAM8,81,myriapoda,polydesmus
070623,CAM9,83,diptera-hymenoptera,lasius
080623,CAM4,79,carabidae,nebria salina
080623,HF2F,77,carabidae,pterostichus nigrita
080623,HF2G,82,araneae,pardosa
080623,CAM8,80,carabidae,amara similata
080623,LF2E,84,araneae,pardosa
090623,CAM4,78,carabidae,nebria brevicollis
090623,HF2F,76,carabidae,nebria salina
090623,HF2G,81,myriapoda,polydesmus
090623,CAM8,85,carabidae,harpalus rufipes
100623,CAM4,87,carabidae,notiophilus biguttatus
100623,HF2G,90,carabidae,harpalus rufipes
100623,CAM8,82,araneae,pardosa
100623,CAM9,84,araneae,pardosa
110623,CAM4,86,carabidae,bembidion lampros
110623,HF2F,88,isopoda,armadillidium
110623,HF2G,85,carabidae,harpalus rufipes
110623,CAM8,93,carabidae,anchomenus dorsalis
120623,CAM4,92,carabidae,bembidion lampros
120623,HF2F,87,carabidae,notiophilus biguttatus
120623,HF2G,94,cantharidae,cantharis rustica
120623,CAM8,90,carabidae,harpalus rufipes
120623,LF2E,95,staphylinidae,philonthus laminatus
130623,CAM4,88,isopoda,armadillidium
130623,HF2F,86,carabidae,bembidion lampros
130623,HF2G,93,carabidae,anchomenus dorsalis
130623,CAM8,85,carabidae,harpalus rufipes
140623,CAM4,97,carabidae,amara convexior
140623,HF2F,92,carabidae,bembidion lampros
140623,HF2G,99,staphylinidae,philonthus cognatus
140623,CAM8,100,staphylinidae,anotylus
140623,CAM9,102,staphylinidae,aleochara
150623,CAM4,96,carabidae,stomis punicatus
150623,HF2F,98,carabidae,harpalus rufipes
150623,HF2G,101,araneae,micaria pulicaria
150623,CAM9,102,staphylinidae,aleochara
160623,CAM4,104,carabidae,amara similata
160623,HF2F,97,carabidae,amara convexior
160623,HF2G,100,staphylinidae,anotylus
160623,CAM8,99,staphylinidae,philonthus cognatus
160623,CAM9,103,araneae,xysticus cristatus
170623,CAM4,98,carabidae,harpalus rufipes
170623,HF2F,96,carabidae,stomis punicatus
170623,HF2G,106,cantharidae,cantharis flavilabris
170623,CAM8,101,araneae,micaria pulicaria
170623,LF2E,102,staphylinidae,aleochara
190623,CAM8,106,cantharidae,cantharis flavilabris
200623,CAM4,108,carabidae,amara nitida
200623,HF2F,110,araneae,lycosidae
200623,HF2G,111,coleoptera (larvae),staphylinidae (larvae)
200623,CAM8,113,staphylinidae,philonthus cognatus
200623,LF2E,116,diptera-hymenoptera,formicidae
210623,CAM4,107,carabidae,loricera pilicornis
210623,HF2F,117,carabidae,pterostichus strenuus
210623,HF2G,114,coccinellidae,coccinella septempunctata
210623,CAM8,112,carabidae,pterostichus madidus
210623,LF2E,115,araneae,drassyllus pusillus
220623,HF2F,108,carabidae,amara nitida
220623,HF2G,113,staphylinidae,philonthus cognatus
220623,CAM8,111,coleoptera (larvae),staphylinidae (larvae)
220623,CAM9,116,diptera-hymenoptera,formicidae
230623,CAM4,117,carabidae,pterostichus strenuus
230623,HF2F,107,carabidae,loricera pilicornis
230623,HF2G,112,carabidae,pterostichus madidus
230623,CAM8,114,coccinellidae,coccinella septempunctata
230623,CAM9,115,araneae,drassyllus pusillus
300623,CAM4,119,coleoptera (larvae),staphylinidae (larvae)
300623,HF2F,121,carabidae,microlestes minutulus
300623,HF2G,122,diptera-hymenoptera,formicidae
300623,CAM8,124,staphylinidae,aleocharinae
300623,CAM9,126,cantharidae,cantharis lateralis
010723,CAM4,118,carabidae,amara ovata
010723,HF2G,125,staphylinidae,philonthus cognatus
010723,CAM8,128,staphylinidae,staphylinidae
010723,CAM9,127,carabidae,trechus quadristriatus
020723,CAM4,121,carabidae,microlestes minutulus
020723,HF2F,119,coleoptera (larvae),staphylinidae (larvae)
020723,HF2G,130,myriapoda,cylindroiulus
020723,CAM8,122,diptera-hymenoptera,formicidae
020723,LF2E,131,staphylinidae,staphylinidae
030723,HF2F,118,carabidae,amara ovata
030723,CAM8,125,staphylinidae,philonthus cognatus
040723,HF2F,121,carabidae,microlestes minutulus
040723,HF2G,136,araneae,lepthyphantes
040723,CAM8,130,myriapoda,cylindroiulus
040723,LF2E,140,staphylinidae,staphylinidae
050723,HF2F,129,myriapoda,polydesmus
050723,HF2G,138,araneae,lepthyphantes
050723,CAM8,137,araneae,linyphiidae
050723,CAM9,139,staphylinidae,tachinus
060723,HF2F,133,isopoda,armadillidium
060723,HF2G,142,carabidae,harpalus rufipes
060723,CAM8,136,araneae,lepthyphantes
060723,LF2E,139,staphylinidae,tachinus
070723,CAM4,144,isopoda,philoscia muscorum
070723,HF2F,132,carabidae,anchomenus dorsalis
070723,HF2G,137,araneae,linyphiidae
070723,CAM8,138,araneae,lepthyphantes
070723,LF2E,139,staphylinidae,tachinus
080723,HF2F,145,carabidae,loricera pilicornis
080723,CAM8,142,carabidae,harpalus rufipes
080723,LF2E,141,diptera-hymenoptera,myrmica
090723,HF2F,144,isopoda,philoscia muscorum
090723,HF2G,146,chrysomelidae,psylliodes chrysocephalus
100723,CAM4,150,carabidae,amara ovata
100723,HF2F,152,carabidae,loricera pilicornis
100723,HF2G,149,staphylinidae,tachinus
100723,CAM8,147,nitidulidae,brassicogethes
100723,LF2E,154,staphylinidae,ischnosoma
110723,CAM4,155,myriapoda,larnycetes emarginatus
110723,HF2F,156,isopoda,armadillidium
110723,CAM8,158,staphylinidae,staphylinidae
110723,LF2E,153,diptera (larvae),diptera (larvae)
120723,CAM4,152,carabidae,loricera pilicornis
120723,HF2F,150,carabidae,amara ovata
120723,CAM8,160,carabidae,pterostichus niger
120723,CAM9,154,staphylinidae,ischnosoma
130723,CAM4,156,isopoda,armadillidium
130723,HF2F,159,carabidae,acupalpus meridianus
130723,HF2G,163,carabidae,agonum muelleri
130723,CAM8,161,carabidae,bembidion lampros
130723,CAM9,153,diptera (larvae),diptera (larvae)
140723,CAM4,166,carabidae,pterostichus niger
140723,HF2F,167,isopoda,armadillidium
140723,HF2G,160,carabidae,pterostichus niger
140723,CAM8,162,carabidae,harpalus affinis
140723,CAM9,164,araneae,megalepthyphantes
150723,CAM4,159,carabidae,acupalpus meridianus
150723,HF2F,168,carabidae,pterostichus strenuus
150723,HF2G,161,carabidae,bembidion lampros
150723,CAM8,163,carabidae,agonum muelleri
150723,LF2E,165,araneae,neottiura bimaculata
160723,CAM4,167,isopoda,armadillidium
160723,HF2F,172,carabidae,bembidion properans
160723,HF2G,162,carabidae,harpalus affinis
160723,CAM8,170,staphylinidae,xantholinus
160723,LF2E,164,araneae,megalepthyphantes
170723,CAM4,168,carabidae,pterostichus strenuus
170723,HF2F,171,isopoda,armadillidium
170723,CAM9,165,araneae,neottiura bimaculata
180723,CAM4,172,carabidae,bembidion properans
180723,HF2G,170,staphylinidae,xantholinus
180723,CAM8,173,staphylinidae,ocypus olens
190723,CAM4,171,isopoda,armadillidium
190723,HF2G,175,carabidae,stomis punicatus
190723,CAM8,176,carabidae,brachinus crepitans
190723,CAM9,177,coleoptera (larvae),carabidae (larvae)
250723,HF2G,173,staphylinidae,ocypus olens
250723,CAM9,178,coleoptera (larvae),carabidae (larvae)
260723,HF2G,176,carabidae,brachinus crepitans
260723,CAM8,175,carabidae,stomis punicatus
260723,LF2E,178,coleoptera (larvae),carabidae (larvae)
270723,LF2E,177,coleoptera (larvae),carabidae (larvae)
010823,CAM4,180,isopoda,armadillidium
010823,HF2F,182,carabidae,trechus quadristriatus
010823,HF2G,183,opiliones,phalangiidae
010823,CAM8,185,dermaptera,forficula auricularia
010823,LF2E,188,carabidae,trechus quadristriatus
020823,CAM4,179,coleoptera (larvae),loricera pilicornis (larvae)
020823,HF2F,181,staphylinidae,aleocharinae
020823,CAM8,184,staphylinidae,ocypus olens
020823,CAM9,188,carabidae,trechus quadristriatus
030823,CAM4,182,carabidae,trechus quadristriatus
030823,HF2F,180,isopoda,armadillidium
030823,CAM8,183,opiliones,phalangiidae
030823,CAM9,187,carabidae,trechus quadristriatus
040823,CAM4,181,staphylinidae,aleocharinae
040823,HF2F,179,coleoptera (larvae),loricera pilicornis (larvae)
040823,HF2G,184,staphylinidae,ocypus olens
040823,LF2E,187,carabidae,trechus quadristriatus
070823,HF2G,190,staphylinidae,ocypus olens
070823,CAM8,192,staphylinidae,tachinus
070823,LF2E,195,araneae,linyphiidae
080823,CAM4,189,carabidae,brachinus crepitans
080823,HF2G,193,araneae,linyphiidae
080823,CAM8,191,staphylinidae,tachinus
090823,HF2G,192,staphylinidae,tachinus
100823,HF2G,191,staphylinidae,tachinus
100823,CAM9,195,araneae,linyphiidae
140823,CAM4,197,carabidae,carabidae
140823,HF2F,199,coleoptera (larvae),carabidae (larvae)
140823,HF2G,200,staphylinidae,ocypus olens
140823,CAM8,202,staphylinidae,aleocharinae
140823,CAM9,204,coleoptera (larvae),carabidae (larvae)
150823,CAM4,196,coleoptera (larvae),carabidae (larvae)
150823,HF2G,203,araneae,neottiura bimaculata
150823,CAM8,201,staphylinidae,aleochara
160823,CAM4,199,coleoptera (larvae),carabidae (larvae)
160823,HF2G,202,staphylinidae,aleocharinae
160823,CAM8,200,staphylinidae,ocypus olens
170823,HF2G,201,staphylinidae,aleochara
170823,CAM8,203,araneae,neottiura bimaculata
210823,HF2G,206,staphylinidae,aleocharinae
210823,CAM8,208,carabidae,harpalus affinis
230823,CAM8,206,staphylinidae,aleocharinae
240823,CAM8,208,carabidae,harpalus affinis
